Anole ID,Site,Color,Limb Length (mm),Mass (g),Perch Diameter (cm),Perch Height (cm),Snout-Vent Length (mm),Tail Length (mm)
439,M,Blue,13.2,6.79,31.0,217.0,56.1,64.4
440,M,Blue,12.6,5.78,36.0,206.0,54.4,49.0
441,M,Green,12.1,7.76,18.0,216.0,57.9,71.6
442,M,Blue,11.1,5.13,29.0,209.0,54.6,37.8
443,M,Blue,11.0,7.58,32.0,202.0,51.8,39.6
444,M,Green,10.5,5.31,14.0,199.0,50.1,40.2
445,M,Brown,11.9,9.79,24.0,210.0,56.0,70.7
446,M,Brown,11.4,5.5,25.0,213.0,51.0,50.7
447,M,Green,12.3,6.63,10.0,217.0,53.4,51.7
448,M,Green,11.9,6.46,14.0,212.0,54.7,60.0
449,M,Blue,11.3,6.59,32.0,213.0,56.2,64.8
450,M,Brown,12.6,7.64,22.0,224.0,57.7,76.6
451,M,Green,12.4,6.04,8.0,217.0,54.1,57.0
452,M,Brown,11.4,6.22,24.0,214.0,51.5,50.1
453,M,Blue,12.3,5.03,29.0,210.0,56.7,33.9
454,M,Brown,11.7,5.49,28.0,206.0,54.6,44.8
455,M,Brown,13.0,6.32,20.0,217.0,56.5,45.7
456,M,Green,11.7,7.3,12.0,218.0,57.7,51.1
457,M,Blue,11.8,5.27,35.0,216.0,53.1,47.2
458,M,Green,11.2,6.17,21.0,211.0,54.2,39.7
459,M,Brown,11.5,6.39,27.0,204.0,55.6,56.8
460,M,Brown,11.1,6.18,24.0,204.0,55.0,33.6
461,M,Brown,13.5,5.64,27.0,221.0,57.5,40.4
462,N,Green,15.5,8.36,8.0,126.0,71.1,77.5
463,N,Blue,14.5,7.12,32.0,121.0,68.2,64.0
464,N,Green,15.8,7.98,9.0,125.0,69.8,71.0
465,N,Green,14.6,7.01,5.0,121.0,70.0,55.7
466,N,Blue,14.9,7.82,45.0,119.0,72.0,49.6
467,N,Blue,15.8,6.88,37.0,129.0,70.1,47.5
468,N,Blue,15.8,8.12,35.0,121.0,73.1,74.9
469,N,Brown,15.5,6.91,29.0,120.0,69.7,47.0
470,N,Brown,14.8,7.6,33.0,117.0,68.6,69.2
471,N,Brown,16.9,8.06,29.0,137.0,74.7,61.2
472,N,Blue,14.9,9.54,38.0,128.0,68.4,67.5
473,N,Brown,14.4,6.63,24.0,126.0,66.8,50.2
474,N,Green,14.8,8.37,10.0,126.0,70.2,78.4
475,N,Green,14.7,7.59,3.0,136.0,67.9,64.5
476,N,Brown,15.8,10.13,25.0,130.0,73.2,90.0
477,N,Brown,14.1,7.46,24.0,118.0,69.5,61.6
478,N,Blue,15.6,7.43,38.0,130.0,69.0,54.5
479,N,Brown,14.9,7.72,24.0,123.0,69.2,49.7
480,N,Blue,14.2,7.78,26.0,120.0,68.3,59.9
481,N,Brown,14.5,8.82,20.0,123.0,68.1,71.4
482,N,Brown,14.5,8.98,28.0,119.0,66.9,77.4
483,N,Green,14.9,7.48,12.0,122.0,71.9,62.1
484,N,Blue,15.0,7.94,42.0,112.0,68.9,70.4
485,N,Blue,14.5,7.98,34.0,121.0,71.7,73.0
486,N,Brown,14.2,6.77,23.0,109.0,68.8,52.9
487,N,Green,14.8,7.41,10.0,113.0,72.2,60.5
488,N,Brown,15.7,7.36,24.0,116.0,69.5,56.4
489,O,Green,16.7,8.61,2.0,230.0,76.4,84.9
490,O,Green,16.2,8.19,10.0,221.0,74.3,73.1
491,O,Blue,13.2,7.7,32.0,211.0,61.3,64.7
492,O,Brown,13.2,6.99,27.0,200.0,65.5,59.6
493,O,Green,15.4,7.94,11.0,215.0,74.0,64.4
494,O,Blue,16.7,8.64,40.0,212.0,74.8,70.6
495,O,Green,15.2,8.15,5.0,208.0,71.9,84.5
496,O,Blue,16.1,8.84,32.0,217.0,77.4,74.3
497,O,Blue,18.7,9.33,43.0,230.0,84.5,88.9
498,O,Green,16.0,6.86,5.0,222.0,70.2,56.3
499,O,Blue,15.3,7.94,41.0,202.0,74.2,52.8
500,O,Brown,14.7,7.73,18.0,216.0,64.2,63.0
501,O,Brown,14.8,8.02,23.0,220.0,71.2,57.2
502,O,Blue,13.9,9.35,27.0,203.0,67.8,77.8
503,O,Blue,15.5,7.23,31.0,218.0,67.9,56.2
504,O,Brown,14.8,7.34,22.0,213.0,69.3,64.2
505,O,Brown,15.4,6.4,24.0,224.0,72.8,36.9
506,O,Brown,16.4,9.63,24.0,217.0,74.3,65.7
507,O,Brown,15.0,7.71,28.0,203.0,73.3,67.3
508,O,Blue,16.1,8.5,36.0,221.0,79.3,73.8
509,O,Brown,13.7,8.18,18.0,206.0,67.3,64.8
510,O,Brown,16.4,7.42,26.0,212.0,75.8,64.4
511,O,Green,13.6,6.5,13.0,198.0,62.2,51.5
512,O,Brown,13.0,7.31,16.0,215.0,65.1,66.0
513,O,Blue,14.6,8.05,41.0,217.0,71.7,63.4
514,O,Green,15.0,7.41,15.0,218.0,69.0,58.8
515,O,Blue,15.1,7.36,34.0,210.0,75.0,62.2
516,O,Brown,16.0,7.36,22.0,215.0,72.6,59.2
517,O,Blue,14.2,7.29,36.0,201.0,65.6,53.1
518,O,Blue,14.0,8.17,30.0,199.0,67.1,70.7
519,O,Brown,17.3,8.04,23.0,223.0,80.2,56.6
520,O,Green,13.9,7.06,6.0,215.0,69.6,58.5
521,P,Green,12.4,6.52,14.0,210.0,56.6,58.9
522,P,Blue,13.7,8.36,30.0,218.0,64.4,77.2
523,P,Green,12.1,6.86,19.0,200.0,59.5,57.8
524,P,Brown,12.7,6.97,17.0,216.0,58.4,65.1
525,P,Green,13.3,6.93,10.0,201.0,59.1,59.0
526,P,Blue,15.4,9.74,41.0,221.0,76.3,95.7
527,P,Blue,13.1,7.54,32.0,222.0,62.4,57.3
528,P,Brown,14.2,7.87,20.0,225.0,68.3,71.8
529,P,Blue,13.3,5.75,38.0,211.0,58.1,39.2
530,P,Brown,13.6,7.01,24.0,214.0,60.3,64.0
531,P,Green,14.0,7.32,5.0,215.0,62.3,68.6
532,P,Brown,14.9,7.47,30.0,229.0,66.5,73.4
533,P,Blue,13.2,6.58,25.0,212.0,61.3,56.7
534,P,Green,11.6,5.29,12.0,205.0,56.1,30.9
535,P,Blue,12.4,6.74,31.0,211.0,60.6,60.6
536,P,Blue,12.0,8.23,30.0,202.0,56.5,52.4
537,P,Blue,12.7,5.91,28.0,204.0,59.2,40.2
538,P,Green,15.2,7.58,10.0,228.0,68.4,73.2
539,P,Green,13.3,7.55,2.0,225.0,63.8,72.2
540,P,Brown,15.4,7.95,23.0,227.0,72.9,73.1
541,P,Blue,14.1,8.23,35.0,208.0,61.2,78.2
542,P,Brown,13.2,8.05,25.0,203.0,60.1,75.9
543,P,Blue,15.2,6.88,34.0,230.0,70.2,57.9
544,P,Blue,15.7,8.12,34.0,223.0,71.7,71.5
545,P,Brown,14.4,7.37,19.0,227.0,67.5,70.6
546,P,Blue,14.9,7.66,34.0,220.0,69.9,64.1
547,P,Green,14.8,6.78,19.0,226.0,67.0,49.4
548,P,Green,14.0,7.56,7.0,219.0,59.9,63.3
549,P,Blue,13.1,6.64,32.0,229.0,60.6,50.0
550,P,Blue,13.4,6.99,37.0,209.0,58.1,67.7
551,P,Brown,12.8,7.75,25.0,214.0,63.7,62.8
552,P,Brown,15.4,9.58,29.0,216.0,70.4,81.6
553,P,Green,13.2,6.73,3.0,210.0,62.0,60.3
554,P,Green,15.3,7.67,14.0,213.0,71.2,59.6
555,P,Brown,10.4,5.92,24.0,200.0,52.0,38.2
556,P,Blue,11.6,5.98,26.0,200.0,50.2,42.5
557,P,Brown,11.7,6.78,30.0,208.0,56.2,55.1
558,P,Brown,14.1,8.2,20.0,226.0,67.2,69.2
559,P,Green,13.5,7.39,6.0,218.0,65.7,62.5
560,P,Brown,12.9,7.25,27.0,211.0,60.9,72.3
561,P,Blue,13.6,7.1,40.0,230.0,60.3,59.3
562,P,Blue,13.1,5.23,28.0,203.0,61.6,36.9
563,Q,Brown,14.5,6.26,22.0,193.0,62.7,43.5
564,Q,Blue,13.4,6.92,35.0,192.0,65.0,57.9
565,Q,Brown,15.0,8.22,26.0,205.0,68.3,66.0
566,Q,Blue,14.6,8.23,36.0,209.0,68.2,78.7
567,Q,Green,15.8,7.84,6.0,205.0,71.3,57.6
568,Q,Blue,12.8,6.29,32.0,197.0,63.7,51.2
569,Q,Green,14.2,7.87,13.0,206.0,66.2,53.6
570,Q,Green,13.4,6.99,12.0,176.0,66.0,46.9
571,Q,Brown,14.3,7.28,25.0,190.0,65.2,61.6
572,Q,Blue,14.1,8.25,35.0,194.0,61.8,61.7
573,Q,Green,14.5,6.71,8.0,202.0,64.7,53.4
574,Q,Blue,14.4,7.05,38.0,193.0,66.0,56.3
575,Q,Brown,13.2,7.49,15.0,195.0,65.3,64.3
576,Q,Green,14.5,8.1,8.0,194.0,66.6,66.9
577,Q,Blue,13.6,6.96,35.0,185.0,64.3,54.2
578,Q,Brown,15.7,7.77,22.0,199.0,70.9,68.0
579,Q,Blue,14.5,7.85,34.0,210.0,68.4,67.6
580,Q,Blue,14.9,8.62,43.0,193.0,68.5,70.3
581,Q,Blue,14.0,6.56,34.0,193.0,63.5,56.4
582,Q,Green,14.5,7.29,11.0,193.0,63.2,66.4
583,Q,Blue,14.7,7.74,28.0,196.0,69.2,46.6
584,Q,Blue,14.9,7.48,34.0,205.0,70.1,67.3
585,Q,Blue,13.8,7.37,35.0,198.0,67.9,67.0
586,Q,Blue,15.1,7.41,36.0,196.0,68.0,63.5
587,Q,Brown,14.6,6.94,20.0,192.0,65.1,59.9
588,Q,Blue,14.8,7.3,38.0,191.0,67.9,59.7
589,Q,Brown,12.5,6.78,25.0,182.0,62.3,58.2
590,Q,Blue,14.5,7.6,32.0,202.0,71.0,63.9
591,Q,Blue,13.5,8.29,28.0,189.0,66.6,75.4
592,Q,Green,13.8,6.62,20.0,190.0,66.1,46.3
593,Q,Green,14.5,6.83,9.0,197.0,67.6,55.5
594,Q,Green,14.8,7.56,11.0,209.0,66.5,69.3
595,Q,Brown,14.6,7.62,25.0,190.0,68.9,70.1
596,Q,Green,14.6,8.52,14.0,192.0,64.4,74.2
597,Q,Brown,12.4,6.88,27.0,175.0,57.8,56.7
598,Q,Brown,13.9,8.26,28.0,193.0,69.1,66.4
599,Q,Green,13.7,8.26,11.0,193.0,62.2,68.2
600,Q,Green,15.4,7.91,14.0,205.0,68.0,69.8
601,Q,Blue,14.8,6.94,32.0,201.0,67.2,62.0
602,Q,Green,14.3,8.22,11.0,201.0,69.2,58.9
603,Q,Brown,14.4,7.94,31.0,197.0,70.0,76.8
604,Q,Blue,14.1,7.13,44.0,189.0,61.4,65.4
605,Q,Green,15.9,7.97,2.0,205.0,73.2,71.8
606,Q,Brown,12.1,7.4,25.0,194.0,59.7,66.8
607,Q,Green,13.9,8.32,9.0,194.0,68.7,73.2
608,R,Brown,15.0,8.62,26.0,216.0,67.9,67.6
609,R,Brown,16.0,7.73,32.0,238.0,71.7,67.5
610,R,Brown,15.2,9.33,33.0,214.0,74.3,55.3
611,R,Brown,15.1,7.64,22.0,230.0,68.0,72.4
612,R,Blue,16.5,7.92,38.0,233.0,73.4,79.2
613,R,Blue,13.8,7.32,36.0,211.0,64.6,52.5
614,R,Brown,14.7,8.44,25.0,206.0,64.1,77.7
615,R,Blue,14.9,7.05,41.0,224.0,66.2,64.2
616,R,Brown,15.1,8.17,29.0,208.0,71.5,56.9
617,R,Green,15.0,7.12,11.0,215.0,69.6,63.2
618,R,Green,14.7,7.25,8.0,222.0,73.4,60.6
619,R,Brown,16.4,8.12,27.0,237.0,75.8,46.4
620,R,Green,16.4,9.03,9.0,228.0,78.1,81.7
621,R,Blue,15.5,8.97,34.0,229.0,71.4,82.6
622,R,Brown,17.1,8.89,32.0,225.0,75.8,77.9
623,R,Brown,14.0,6.66,28.0,223.0,65.5,57.2
624,R,Brown,14.7,8.21,18.0,206.0,70.7,79.3
625,R,Brown,17.1,8.3,23.0,217.0,78.5,50.3
626,R,Brown,14.1,6.8,18.0,210.0,67.6,58.0
627,R,Green,17.1,8.83,6.0,231.0,80.0,71.1
628,R,Blue,15.0,6.41,31.0,227.0,67.7,52.8
629,R,Green,15.6,7.09,2.0,231.0,73.5,51.2
630,R,Brown,17.4,7.68,29.0,225.0,77.5,63.7
631,R,Brown,15.8,7.9,18.0,234.0,69.3,67.4
632,R,Blue,14.1,8.08,33.0,212.0,68.0,81.1
633,R,Blue,15.1,8.27,38.0,226.0,75.3,73.9
634,R,Blue,14.2,8.71,29.0,220.0,70.6,80.2
635,R,Green,16.1,8.97,NA,225.0,NA,80.4
636,S,Brown,12.4,6.46,21.0,104.0,57.2,53.3
637,S,Green,11.5,6.76,16.0,96.0,50.7,62.3
638,S,Green,15.0,7.54,12.0,105.0,69.0,71.2
639,S,Green,11.9,5.66,9.0,91.0,54.0,41.4
640,S,Brown,12.8,7.36,29.0,91.0,NA,48.9
641,S,Green,11.6,6.15,11.0,90.0,58.1,48.8
642,S,Blue,11.5,5.74,32.0,100.0,52.9,38.2
643,S,Blue,9.8,5.82,36.0,82.0,45.6,54.7
644,S,Green,12.5,5.78,16.0,99.0,57.5,46.6
645,S,Green,11.9,6.86,17.0,91.0,58.6,59.2
646,S,Brown,11.8,6.53,22.0,104.0,58.7,50.1
647,S,Blue,12.0,6.98,20.0,92.0,53.1,47.4
648,S,Blue,11.4,7.13,27.0,NA,50.7,59.7
649,S,Green,12.2,5.77,16.0,90.0,53.1,40.4
650,S,Blue,12.5,6.94,35.0,105.0,56.4,54.2
651,S,Green,11.2,7.34,16.0,90.0,48.8,51.9
652,S,Green,11.3,7.91,17.0,84.0,50.0,43.8
653,S,Blue,11.1,6.57,31.0,82.0,52.9,50.6
654,S,Blue,11.8,8.09,21.0,91.0,56.4,73.4
655,S,Blue,10.3,5.97,29.0,83.0,48.1,42.4
656,S,Brown,13.2,5.45,NA,105.0,62.0,42.7
657,S,Brown,10.7,5.8,17.0,86.0,51.9,47.3
658,S,Blue,11.7,6.35,34.0,102.0,52.3,50.5
659,S,Green,11.7,6.3,9.0,86.0,52.3,57.6
660,S,Blue,13.4,7.2,27.0,93.0,58.2,69.7
661,S,Brown,11.5,6.47,21.0,89.0,56.6,65.7
662,S,Blue,11.5,6.29,23.0,95.0,52.6,52.9
663,S,Blue,10.1,6.94,23.0,86.0,49.7,66.5
664,S,Green,13.4,7.44,11.0,94.0,61.5,71.9
665,S,Blue,14.8,6.19,41.0,115.0,65.5,38.3
666,S,Brown,NA,6.3,28.0,97.0,58.2,51.2
667,S,Green,15.4,8.28,6.0,108.0,68.2,61.6
668,S,Brown,12.9,7.98,27.0,103.0,56.6,73.8
